Title,Artist,Consumed(yes/no),Genre,Notes
Catcher in the Rye,JD Salinger,yes,Fiction/Lit,
Ghost World,Daniel Clowes,yes,Graphic Novel,
For Whom the Bell Tolls,Ernest Hemingway,yes,Fiction/Lit,
Dune,Frank Herbert,yes,Science Fiction,
Maus,Art Spiegelman,yes,Graphic Novel,
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,no,Fiction/Children's,
Slaughterhouse-Five,Kurt Vonnegut,yes,Fiction/Lit,
Naked Lunch,William Burroughs,yes,Fiction/Experimental/Beat,
Sense and Sensibility,Jane Austen,no,Fiction/Lit,
Meditations on First Philosophy,René Descartes,yes,Philosophy,
1Q84,Haruki Murakami,no,Fiction,
I Am Dynamite! A Life of Nietzsche,Sue Prideaux,no,Biography,
The Collector,John Fowles,no,Thriller,"Lil's copy, should buy my own to read w/o removing their notes"
Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,no,Philosophy,Half read in Bellevue psych ward
Capital,Karl Marx,no,Philosophy/Economics,
The Second Sex,Simone de Beauvoir,no,Philosophy,"Partially read for ""Great Works in Philosophy"" class"
What is Existentialism?,Simone de Beauvoir,no,Philosophy/Existentialism/Feminism,
The Stranger,Albert Camus,yes,Fiction/Lit/Existentialism,
Infinite Jest,David Foster Wallace,yes,Fiction/Lit/Postmodern,
Existentialism is a Humanism,Jean-Paul Sartre,no,Philosphy/Existentialism,
Analog,Robert Hassan,no,Nonfiction/Technology,
Blood Meridian,Cormac McCarthy,yes,Fiction/Lit,"Davyn's copy, should give back"
The Road,Cormac McCarthy,no,Fiction/Lit,
Emma,Jane Austen,no,Fiction/Lit,
Homesick for Another World,Ottessa Moshfegh,no,Fiction/Short Stories,
Polaroids from the Dead,Douglas Copeland,no,Short Stories/Essays,
Dracula,Bram Stoker,no,Fiction/Horror,
On Writing,Stephen King,no,Nonfiction/Creative,
Finnegans Wake,James Joyce,no,Fiction/Experimental,
Fight Club,Chuck Palahniuk,yes,Fiction,
My Year of Rest and Relaxation,Ottessa Moshfegh,yes,Fiction,Read and reread many times
Tropic of Cancer,Henry Miller,no,Fiction/Lit,
Murphy,Samuel Beckett,no,Fiction/Lit,
We,Yevgeny Zamyatin,no,Fiction/Dystopian,First book I bought with Barnes and Noble employee discount
Pygmalion and Three Other Plays,George Bernard Shaw,no,Fiction/Screenplay,
On the Genealogy of Morals and Ecce Homo,Friedrick Nietzsche,no,Philosophy,"Read first section many times, hardly touched others"
Being and Nothingness,Jean-Paul Sartre,no,Philosophy/Existentialism,
Prolegomena to Any Future Metaphysics,Immanuel Kant,no,Philosophy,Feel like I read this cover to cover for class but can't remember anything so it's getting marked as not read
An Enquiry Concerning Principles of Morals,David Hume,yes,Philosophy,
Foundations of the Metaphysics of Morals,Immanuel Kant,no,Philosphy,
Fahrenheit 451,Ray Bradbury,yes,Fiction/Lit/Science Fiction/Dystopian,
The Sun Also Rises,Ernest Hemingway,yes,Fiction/Lit,Favorite book ever
Consequentialism and its Critics,Samuel Scheffler,no,Philosophy/Ethics/Essays,"Took class with the editor, read some but not every essay"
The Hobbit,J.R.R. Tolkien,yes,Fiction/Fantasy/Children's,
Of Mice and Men,John Steinbeck,yes,Fiction/Lit,
Just Kids,Patti Smith,yes,Biography/Memoir,
Nausea,Jean-Paul Sartre,yes,Fiction/Existentialist,Copy found in box on St. Marks Place
On the Road,Jack Kerouac,yes,Fiction/Lit/Beat,Favorite book in high school
Eileen,Ottessa Moshfegh,yes,Fiction,
Oscar Wilde,The Picture of Dorian Gray,no,Fiction/Lit,
Frankenstein,Mary Shelley,no,Fiction/Horror,
Sleeping Fires,George Gissing,yes,Fiction,
Hunger Makes Me a Modern Girl,Carrie Brownstein,yes,Biography/Memoir,
Please Kill Me,Legs McNeil/Gillian McCain,no,Nonfiction/History,
Ariel,Sylvia Plath,no,Poetry,
Time and Again,Jack Finney,no,Fiction,Gotten for free from dropbox while working at Seward Park Library in Manhattan
The Hemingway Stories,Ernest Hemingway,no,Fiction/Short Stories,
And the Hippos Were Boiled in their Tanks,William Burroughs/Jack Kerouac,no,Fiction/Beat,
Year of the Monkey,Patti Smith,no,Biography/Memoir,
The Motorcycle Diaries,Che Guevara,no,Biography/Memoir,Dad brought this to me in the hospital
Swann's Way,Marcel Proust,no,Fiction/Lit,"Read the first 200 pages so many times, I'll finish one day"
The Idiot,Fyodor Dostoyevsky,no,Fiction/Lit,
Consider the Lobster,David Foster Wallace,yes,Nonfiction/Essays,
Passages,Ann Quin,no,Fiction,
Waiting for Godot,Samuel Beckett,no,Fiction/Lit/Screenplay,
Cat's Cradle,Kurt Vonnegut,yes,Fiction/Lit,
The Sirens of Titan,Kurt Vonnegut,yes,Fiction/Lit,
Speed/Kentucky Ham,William Burroughs Jr,yes,Fiction/Beat,
Brave New World,Alduous Huxley,yes,Fiction/Lit/Science Fiction/Dystopian,
To Kill a Mockingbird,Harper Lee,yes,Fiction/Lit,
Animal Farm,George Orwell,yes,Fiction/Lit,
A Portrait of the Artist as a Young Man,James Joyce,yes,Fiction/Lit,
"Sex, Drugs, and Cocoa Puffs",Chuck Klosterman,no,Nonfiction/Essays,
Mrs. Dalloway,Virginia Woolf,no,Fiction/Lit,
And Then There Were None,Agatha Christie,yes,Fiction/Mystery,
Lou Reed: A Life,Anthony DeCurtis,yes,Biography/Creative,
IT,Steven King,yes,Fiction/Horror,
Revolution For the Hell of It,Abbie Hoffman,no,Nonfiction/Humor/Political,
The Hitchhikers Guide to the Galaxy,Douglas Adams,no,Fiction/Science Fiction,
The Hero with a Thousand Faces,Joseph Campbell,no,Fiction,
33 1/3: OK Computer,Dai Griffiths,no,Nonfiction/Creative,
A Clockwork Orange,Anthony Burgess,yes,Fiction,
Ulysses,James Joyce,no,Fiction/Lit/Experimental,
Book of Days,Patti Smith,no,Memoir,
M Train,Patti Smith,no,Biography/Memoir,
The Soft Machine,William Burroughs,no,Fiction/Lit/Experimental,
Queer,William Burroughs,no,Fiction/Lit,
Colonel Chabert,Honoré de Balzac,no,Fiction,
Ethan Frome,Edith Wharton,no,Fiction/Lit,
The Crying of Lot 49,Thomas Pynchon,no,Fiction/Lit,
Crime and Punishment,Fyodor Dostoyevsky,yes,Fiction/Lit,
Lunch Poems,Frank O'Hara,yes,Poetry,
Norwegian Wood,Haruki Murakami,yes,Fiction,
Dubliners,James Joyce,yes,Fiction/Lit/Short Stories,
The Defining Decade,Meg Jay,no,Nonfiction/Personal Growth,
The Queen of Spades and other stories,Alexander Pushkin,no,Fiction/Lit/Short Stories,
The Jungle,Upton Sinclair,no,Fiction/Lit,
Death of a Salesman,Arthur Miller,no,Fiction/Screenplay,
The Metamorphosis,Franz Kafka,yes,Fiction/Lit,
Island,Alduous Huxley,no,Fiction,
The Electric Kool-Aid Acid Test,Tom Wolf,no,Nonfiction/History,
Howl and other poems,Allen Ginsberg,yes,Poetry,
33 1/3: Loveless,Mike McGonigal,yes,Nonfiction/Creative,
The Perennial Philosophy,Alduous Huxley,no,Philosophy/Essays,
Eyeless in Gaza,Alduous Huxley,no,Fiction,
Fear and Loathing in Las Vegas,Hunter S Thompson,yes,Fiction,
Walden,Henry David Thoreau,yes,Biography/Memoir,
The Book Thief,Markus Zusak,yes,Fiction,
Siddhartha,Herman Hesse,no,Fiction/Lit,
Kitchen Confidential,Anthony Bourdain,yes,Biography/Memoir,
Simulacra and Simulation,Jean Baurdrillard,no,Philosophy,
Create Dangerously,Albert Camus,no,Philosophy/Creative,
The Creative Act,Rick Rubin,no,Nonfiction/Creative,
How Music Works,David Byrne,no,Nonfiction/Creative,
Watchmen,Alan Moore,yes,Graphic Novel,
Meet Me in the Bathroom,Lizzy Goodman,yes,,
